experiment_id,model_short,num_layers,sparsity,k_value,method,num_blocks,perplexity,status,compress_time_s,eval_time_s,total_time_s,shortcut_params,shortcut_memory_mb,attn_shortcuts,mlp_shortcuts,hidden_size,sliced_dim,total_params,total_params_mb,gpu_peak_mb,model_load_time_s,timestamp_start,timestamp_end,error
opt-1.3b_s25_k24,opt-1.3b,24,0.25,24,global,1,19.29906272888184,success,99.73882365226746,21.368256092071533,134.71579599380493,3145728.0,6.0,0.0,1.0,2048,1536,1097101920.0,2092.5558471679688,17416.16015625,2.6626110076904297,2025-12-11T14:34:38.815641,2025-12-11T14:36:53.531458,
opt-1.3b_s30_k1,opt-1.3b,24,0.3,1,per-layer,24,20.06409072875977,success,209.89666295051572,21.486180782318115,245.31266331672668,99312064.0,189.4227294921875,24.0,24.0,2048,1432,1127332152.0,2150.215438842773,17211.95703125,2.52236270904541,2025-12-11T14:36:55.763233,2025-12-11T14:41:01.075918,
opt-1.3b_s30_k2,opt-1.3b,24,0.3,2,k-block-2,12,7447.6669921875,success,99.08601069450378,21.31605863571167,137.62841367721558,25489600.0,48.6175537109375,11.0,1.0,2048,1432,1053509688.0,2009.4102630615237,17768.16015625,4.675630331039429,2025-12-11T14:41:03.288793,2025-12-11T14:43:20.917229,
opt-1.3b_s30_k3,opt-1.3b,24,0.3,3,k-block-3,8,1736.151123046875,success,98.72014689445496,21.21142625808716,140.19804501533508,17287104.0,32.9725341796875,7.0,1.0,2048,1432,1045307192.0,1993.7652435302732,17640.16015625,3.385484457015991,2025-12-11T14:43:23.100226,2025-12-11T14:45:43.298291,
opt-1.3b_s30_k4,opt-1.3b,24,0.3,4,k-block-4,6,909.912353515625,success,98.1987760066986,21.237611293792725,135.68949580192566,13185856.0,25.1500244140625,5.0,1.0,2048,1432,1041205944.0,1985.9427337646484,17576.16015625,3.595517158508301,2025-12-11T14:45:45.540204,2025-12-11T14:48:01.229719,
opt-1.3b_s30_k6,opt-1.3b,24,0.3,6,k-block-6,4,431.49420166015625,success,98.85889768600464,21.27339506149292,135.6164014339447,9084608.0,17.3275146484375,3.0,1.0,2048,1432,1037104696.0,1978.1202239990237,17512.16015625,2.842130422592163,2025-12-11T14:48:03.456559,2025-12-11T14:50:19.072982,
opt-1.3b_s30_k8,opt-1.3b,24,0.3,8,k-block-8,3,75.57720947265625,success,98.61220335960388,21.21801447868347,139.27977895736694,7033984.0,13.416259765625,2.0,1.0,2048,1432,1035054072.0,1974.208969116211,17480.16015625,7.500430583953857,2025-12-11T14:50:21.286954,2025-12-11T14:52:40.566754,
opt-1.3b_s30_k12,opt-1.3b,24,0.3,12,k-block-12,2,64.5175552368164,success,97.8213529586792,21.20877957344055,133.80355954170227,4983360.0,9.5050048828125,1.0,1.0,2048,1432,1033003448.0,1970.2977142333984,17448.16015625,3.582206964492798,2025-12-11T14:52:42.744917,2025-12-11T14:54:56.548497,
opt-1.3b_s30_k24,opt-1.3b,24,0.3,24,global,1,22.34943962097168,success,99.92965126037598,21.29958724975586,151.0108036994934,2932736.0,5.59375,0.0,1.0,2048,1432,1030952824.0,1966.386459350586,17416.16015625,6.6544928550720215,2025-12-11T14:54:58.817350,2025-12-11T14:57:29.828160,
opt-2.7b_s10_k1,opt-2.7b,32,0.1,1,per-layer,32,13.0462064743042,success,390.62163615226746,31.77921772003174,452.4450442790985,340328448.0,649.125,32.0,32.0,2560,2304,2857891680.0,5450.995788574219,17501.43798828125,8.295264482498169,2025-12-11T14:57:32.038612,2025-12-11T15:05:04.483678,
opt-2.7b_s10_k2,opt-2.7b,32,0.1,2,k-block-2,16,3062.7607421875,success,182.76513576507568,30.93116283416748,237.4312360286713,85524480.0,163.125,15.0,1.0,2560,2304,2603087712.0,4964.995788574219,18430.1689453125,5.124806880950928,2025-12-11T15:05:06.795286,2025-12-11T15:09:04.226544,
opt-2.7b_s10_k4,opt-2.7b,32,0.1,4,k-block-4,8,1351.9024658203125,success,181.66358017921448,30.810574054718018,235.04216289520264,43057152.0,82.125,7.0,1.0,2560,2304,2560620384.0,4883.995788574219,18030.1689453125,5.896437406539917,2025-12-11T15:09:06.449578,2025-12-11T15:13:01.491765,
opt-2.7b_s10_k8,opt-2.7b,32,0.1,8,k-block-8,4,1511.445556640625,success,181.04666137695312,30.73502826690674,334.42893266677856,21823488.0,41.625,3.0,1.0,2560,2304,2539386720.0,4843.495788574219,17830.1689453125,12.36500334739685,2025-12-11T15:13:03.769791,2025-12-11T15:18:38.198746,
opt-2.7b_s10_k16,opt-2.7b,32,0.1,16,k-block-16,2,19.737150192260746,success,181.03265404701236,30.652193784713745,236.45546960830688,11206656.0,21.375,1.0,1.0,2560,2304,2528769888.0,4823.245788574219,17730.1689453125,7.4570393562316895,2025-12-11T15:18:40.568194,2025-12-11T15:22:37.023685,
opt-2.7b_s10_k32,opt-2.7b,32,0.1,32,global,1,13.154032707214355,success,185.3158130645752,30.67499852180481,245.77174592018127,5898240.0,11.25,0.0,1.0,2560,2304,2523461472.0,4813.120788574219,17680.1689453125,5.152859926223755,2025-12-11T15:22:39.377450,2025-12-11T15:26:45.149218,
opt-2.7b_s20_k1,opt-2.7b,32,0.2,1,per-layer,32,14.131181716918944,success,383.57327342033386,30.54602575302124,436.0385377407074,269484032.0,514.0,32.0,32.0,2560,2048,2524599904.0,4815.292175292969,17461.1884765625,3.9831831455230713,2025-12-11T15:26:47.436951,2025-12-11T15:34:03.475510,
opt-2.7b_s20_k2,opt-2.7b,32,0.2,2,k-block-2,16,4270.55078125,success,183.2570583820343,29.904066801071167,238.76775431633,68157440.0,130.0,15.0,1.0,2560,2048,2323273312.0,4431.292175292969,18430.1689453125,4.240224838256836,2025-12-11T15:34:05.737464,2025-12-11T15:38:04.505240,
opt-2.7b_s20_k4,opt-2.7b,32,0.2,4,k-block-4,8,1131.5406494140625,success,182.64002418518064,29.856200218200684,235.2212414741516,34603008.0,66.0,7.0,1.0,2560,2048,2289718880.0,4367.292175292969,18030.1689453125,3.2015068531036377,2025-12-11T15:38:06.711477,2025-12-11T15:42:01.932737,
opt-2.7b_s20_k8,opt-2.7b,32,0.2,8,k-block-8,4,1715.3565673828125,success,182.49908757209775,29.84360671043396,420.1138331890106,17825792.0,34.0,3.0,1.0,2560,2048,2272941664.0,4335.292175292969,17830.1689453125,91.15283036231996,2025-12-11T15:42:04.137854,2025-12-11T15:49:04.251709,
opt-2.7b_s20_k16,opt-2.7b,32,0.2,16,k-block-16,2,23.69780921936035,success,181.47277998924253,29.728612899780277,231.33364582061768,9437184.0,18.0,1.0,1.0,2560,2048,2264553056.0,4319.292175292969,17730.1689453125,3.0803284645080566,2025-12-11T15:49:06.508465,2025-12-11T15:52:57.842132,
opt-2.7b_s20_k32,opt-2.7b,32,0.2,32,global,1,14.453761100769045,success,184.28284907341003,29.733181953430176,232.534640789032,5242880.0,10.0,0.0,1.0,2560,2048,2260358752.0,4311.292175292969,17680.1689453125,3.396583080291748,2025-12-11T15:53:00.100734,2025-12-11T15:56:52.635392,
opt-2.7b_s25_k1,opt-2.7b,32,0.25,1,per-layer,32,15.08232307434082,success,379.4362647533417,30.1834409236908,427.6290225982666,237158400.0,452.34375,32.0,32.0,2560,1920,2361050592.0,4503.346618652344,17443.7822265625,2.55204176902771,2025-12-11T15:56:54.897987,2025-12-11T16:04:02.527066,
opt-2.7b_s25_k2,opt-2.7b,32,0.25,2,k-block-2,16,4599.5419921875,success,183.7762989997864,29.55526161193848,233.07388353347775,60211200.0,114.84375,15.0,1.0,2560,1920,2184103392.0,4165.846618652344,18430.1689453125,4.513881206512451,2025-12-11T16:04:04.755753,2025-12-11T16:07:57.829658,
opt-2.7b_s25_k4,opt-2.7b,32,0.25,4,k-block-4,8,1132.8282470703125,success,180.29993081092837,29.45458722114563,230.51977252960205,30720000.0,58.59375,7.0,1.0,2560,1920,2154612192.0,4109.596618652344,18030.1689453125,4.294336080551148,2025-12-11T16:08:00.107605,2025-12-11T16:11:50.627384,
opt-2.7b_s25_k8,opt-2.7b,32,0.25,8,k-block-8,4,1673.3048095703125,success,180.9830424785614,29.389862060546875,230.22407460212708,15974400.0,30.46875,3.0,1.0,2560,1920,2139866592.0,4081.471618652344,17830.1689453125,4.118463039398193,2025-12-11T16:11:52.870164,2025-12-11T16:15:43.094259,
opt-2.7b_s25_k16,opt-2.7b,32,0.25,16,k-block-16,2,27.49117851257324,success,180.80906343460083,29.348431825637817,231.0993723869324,8601600.0,16.40625,1.0,1.0,2560,1920,2132493792.0,4067.409118652344,17730.1689453125,3.9840304851531982,2025-12-11T16:15:45.323224,2025-12-11T16:19:36.422604,
opt-2.7b_s25_k32,opt-2.7b,32,0.25,32,global,1,15.72445011138916,success,183.4260985851288,29.368643522262573,232.3069269657135,4915200.0,9.375,0.0,1.0,2560,1920,2128807392.0,4060.377868652344,17680.1689453125,3.824360609054565,2025-12-11T16:19:38.652547,2025-12-11T16:23:30.959495,
opt-2.7b_s30_k1,opt-2.7b,32,0.3,1,per-layer,32,16.559297561645508,success,373.78575253486633,29.43188524246216,422.95826840400696,206897152.0,394.625,32.0,32.0,2560,1792,2199565664.0,4195.338562011719,17425.4384765625,3.927265167236328,2025-12-11T16:23:33.246180,2025-12-11T16:30:36.204460,
opt-2.7b_s30_k2,opt-2.7b,32,0.3,2,k-block-2,16,5217.84228515625,success,182.54119992256165,28.91757440567017,233.3326632976532,52756480.0,100.625,15.0,1.0,2560,1792,2045424992.0,3901.338562011719,18430.1689453125,4.322768688201904,2025-12-11T16:30:38.438269,2025-12-11T16:34:31.770954,
opt-2.7b_s30_k4,opt-2.7b,32,0.3,4,k-block-4,8,1357.0111083984375,success,180.7173719406128,28.91056728363037,230.8019995689392,27066368.0,51.625,7.0,1.0,2560,1792,2019734880.0,3852.338562011719,18030.1689453125,3.9027836322784415,2025-12-11T16:34:34.001368,2025-12-11T16:38:24.803389,
opt-2.7b_s30_k8,opt-2.7b,32,0.3,8,k-block-8,4,1785.374267578125,success,181.59568333625796,28.886149883270264,233.077481508255,14221312.0,27.125,3.0,1.0,2560,1792,2006889824.0,3827.838562011719,17830.1689453125,4.643026113510132,2025-12-11T16:38:27.022125,2025-12-11T16:42:20.099629,
opt-2.7b_s30_k16,opt-2.7b,32,0.3,16,k-block-16,2,33.318328857421875,success,181.03959488868716,28.90005826950073,230.3822033405304,7798784.0,14.875,1.0,1.0,2560,1792,2000467296.0,3815.588562011719,17730.1689453125,4.019744396209717,2025-12-11T16:42:22.333985,2025-12-11T16:46:12.716210,
opt-2.7b_s30_k32,opt-2.7b,32,0.3,32,global,1,17.856325149536133,success,183.5439460277557,28.84238648414612,232.58799242973328,4587520.0,8.75,0.0,1.0,2560,1792,1997256032.0,3809.463562011719,17680.1689453125,3.95760178565979,2025-12-11T16:46:14.956434,2025-12-11T16:50:07.544436,
opt-6.7b_s10_k1,opt-6.7b,32,0.1,1,per-layer,32,11.180984497070312,success,820.9739465713501,45.819687604904175,908.847528219223,868244480.0,1656.044921875,32.0,32.0,4096,3680,7062862528.0,6735.670593261719,14813.49462890625,4.634568929672241,2025-12-12T12:38:08.978480,2025-12-12T12:53:17.826033,
opt-6.7b_s10_k2,opt-6.7b,32,0.1,2,k-block-2,16,11598.0693359375,success,410.778822183609,43.98967099189758,494.5606536865234,218209280.0,416.201171875,15.0,1.0,4096,3680,6412827328.0,6115.748718261719,13573.65087890625,3.978649377822876,2025-12-12T12:53:27.291517,2025-12-12T13:01:41.852192,
opt-6.7b_s10_k4,opt-6.7b,32,0.1,4,k-block-4,8,1862.990478515625,success,407.102023601532,43.488497257232666,493.7170853614807,109870080.0,209.560546875,7.0,1.0,4096,3680,6304488128.0,12024.856811523438,20360.1953125,5.276536226272583,2025-12-11T17:00:31.347928,2025-12-11T17:08:45.065036,
